v8-version,4,6,85,31,0
shared-library,"/usr/bin/nodejs",0x00400000,0x017b4000
shared-library,"1825a25c4000-1825a25c5000",0x1825a25c4000,0x1825a25c5000
shared-library,"/lib/x86_64-linux-gnu/libc-2.19.so",0x7fb305a80000,0x7fb305c1f000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.19.so",0x7fb305e29000,0x7fb305e41000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7fb306046000,0x7fb30605c000
shared-library,"/lib/x86_64-linux-gnu/libm-2.19.so",0x7fb30625c000,0x7fb30635c000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7fb30655d000,0x7fb3066c9000
shared-library,"/lib/x86_64-linux-gnu/librt-2.19.so",0x7fb3068d8000,0x7fb3068df000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.19.so",0x7fb306ae0000,0x7fb306ae3000
shared-library,"/lib/x86_64-linux-gnu/ld-2.19.so",0x7fb306ce4000,0x7fb306d04000
shared-library,"[vdso]",0x7ffc3fdf8000,0x7ffc3fdfa000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0x7fb305b5963d,619,0,0x0,4
tick,0x7fb305b6214a,1827,0,0x0,1
code-creation,Stub,2,0x1a5fe6c06000,446,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c061c0,556,"CEntryStub"
code-creation,Handler,3,0x1a5fe6c06400,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c06480,332,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c065e0,184,"DoubleToIStub"
code-creation,Handler,3,0x1a5fe6c066a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c06720,2694,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c071c0,388,"StoreBufferOverflowStub"
code-creation,Stub,11,0x1a5fe6c07360,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c07440,232,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c07540,336,"StoreFastElementStub"
code-creation,Stub,11,0x1a5fe6c076a0,256,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c077a0,220,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c07880,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c07a40,1242,"FastNewContextStub"
code-creation,CallIC,8,0x1a5fe6c07f20,533,"A call IC from the snapshot"
code-creation,Builtin,4,0x1a5fe6c08140,413,"ArgumentsAdaptorTrampoline"
code-creation,Stub,2,0x1a5fe6c082e0,380,"CEntryStub"
code-creation,Stub,2,0x1a5fe6c08460,446,"CreateWeakCellStub"
code-creation,Stub,2,0x1a5fe6c08620,2722,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c090e0,2672,"RecordWriteStub"
code-creation,Handler,3,0x1a5fe6c09b60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c09c80,2684,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c0a700,2702,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c0b1a0,974,"StoreFastElementStub"
code-creation,Stub,2,0x1a5fe6c0b580,2672,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c0c000,188,"DoubleToIStub"
code-creation,Stub,2,0x1a5fe6c0c0c0,321,"StoreArrayLiteralElementStub"
code-creation,Stub,2,0x1a5fe6c0c220,1819,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c0c940,168,"StoreBufferOverflowStub"
code-creation,CallIC,8,0x1a5fe6c0ca00,533,"A call IC from the snapshot"
code-creation,Stub,12,0x1a5fe6c0cc20,187,"CompareICStub"
code-creation,Handler,3,0x1a5fe6c0cce0,112,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c0cd60,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c0cde0,332,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c0cf40,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c0d020,471,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c0d200,212,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c0d2e0,626,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x1a5fe6c0d560,152,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c0d600,234,"CallFunctionStub"
code-creation,Stub,2,0x1a5fe6c0d700,594,"ArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x1a5fe6c0d960,394,"FastNewContextStub"
code-creation,Stub,2,0x1a5fe6c0db00,572,"TypeofStub"
code-creation,Stub,11,0x1a5fe6c0dd40,284,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c0de60,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x1a5fe6c0dee0,368,"A call IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c0e060,278,"ArrayConstructorStub"
code-creation,Stub,2,0x1a5fe6c0e180,486,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c0e380,502,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c0e580,446,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c0e740,446,"ArrayNoArgumentConstructorStub"
